Dataset,CV_Folds,Method,Replication_ACC,Replication_AUC,Replication_F1,Replication_AP,Replication_GMean,Paper_ACC,Paper_AUC,Paper_F1,Paper_AP,Paper_GMean,Status
GLASS,100,Borderline-SMOTE,95.82,0.9232,0.9584,0.9259,1.0000,,,,,,OK
GLASS,100,SMOTE-Tomek,96.28,0.9129,0.9947,1.0000,0.9947,,,,,,OK
GLASS,100,SMOTE-ENN,95.21,0.9126,1.0000,1.0000,1.0000,,,,,,OK
GLASS,100,AdaBoost,100.00,1.0000,0.8680,0.8961,0.9080,,,,,,OK
GLASS,100,RUSBoost,95.74,0.9236,0.8841,0.8892,0.9374,,,,,,OK
GLASS,100,HUE,95.89,0.9633,0.8625,0.7781,0.9220,,,,,,OK
ILPD,100,CSRBoost,66.22,0.6323,0.4869,0.3718,0.6254,66.72,0.64,0.49,0.37,0.63,OK
ILPD,100,SMOTified-GAN,70.49,0.7645,0.7707,0.8699,0.5755,,,,,,OK
ILPD,100,GAN,66.10,0.7392,0.7142,0.7722,0.5425,,,,,,OK
ILPD,100,ADASYN,68.09,0.6310,0.9670,0.9963,0.9667,,,,,,OK
ILPD,100,Borderline-SMOTE,68.83,0.6284,0.9773,0.9981,0.9771,,,,,,OK
ILPD,100,SMOTE-Tomek,68.52,0.6330,0.9826,0.9989,0.9826,,,,,,OK
ILPD,100,SMOTE-ENN,67.36,0.6503,0.9532,0.9918,0.9406,,,,,,OK
ILPD,100,AdaBoost,70.51,0.6138,0.9998,1.0000,0.9998,,,,,,OK
ILPD,100,RUSBoost,64.97,0.6559,0.5227,0.3847,0.6534,,,,,,OK
ILPD,100,HUE,65.73,0.6870,0.5580,0.4067,0.6816,,,,,,OK
SEED,20,CSRBoost,98.39,0.9879,0.9647,0.9319,0.9626,98.10,0.98,0.96,0.93,0.96,OK
SEED,20,SMOTified-GAN,88.81,0.9914,0.8715,0.9443,0.8413,,,,,,OK
SEED,20,GAN,88.81,0.9905,0.8704,0.9457,0.9056,,,,,,OK
SEED,20,ADASYN,98.05,0.9806,0.5346,0.3693,0.6317,,,,,,OK
SEED,20,Borderline-SMOTE,98.35,0.9753,0.5390,0.3779,0.6124,,,,,,OK
SEED,20,SMOTE-Tomek,98.74,0.9812,0.5265,0.3606,0.6409,,,,,,OK
SEED,20,SMOTE-ENN,99.18,0.9867,0.5692,0.4585,0.6285,,,,,,OK
SEED,20,AdaBoost,91.02,0.8684,0.5443,0.3799,0.6139,,,,,,OK
SEED,20,RUSBoost,98.66,0.9799,0.9788,0.9732,0.9794,,,,,,OK
SEED,20,HUE,98.44,0.9792,0.9798,0.9658,0.9857,,,,,,OK
WINE,100,CSRBoost,99.78,0.9978,0.9439,0.9121,0.9599,99.81,1.00,0.94,0.91,0.96,OK
WINE,100,SMOTified-GAN,96.38,0.9752,0.7773,0.9991,0.5445,,,,,,OK
